PETROL (GHp/Lt),DIESEL (GHp/Lt),LPG (GHp/Kg),KEROSENE (GHp/Lt),MGO LOCAL (GHp/Lt)
558.33,604.71,615.78,494.5,503.43
516.0,516.0,615.78,494.5,503.43
528.74,590.29,615.78,497.13,500.09
510.0,516.0,615.78,497.13,500.09
548.1,606.7,646.0,497.13,500.09
548.1,606.7,646.0,497.13,500.09
493.76,559.43,514.9,497.13,500.09
574.23,630.81,514.9,497.13,500.09
517.19,517.19,567.39,497.13,500.09
517.19,517.19,586.92,497.13,500.09
520.0,554.96,586.92,497.13,500.09
469.5,534.5,586.92,497.13,500.09
553.76,574.39,586.92,497.13,500.09
552.1,565.0,586.92,497.13,500.09
552.1,565.0,586.92,497.13,500.09
574.23,630.81,586.92,497.13,500.09
574.23,630.81,577.48,497.13,500.09
515.2,575.2,577.48,497.13,500.09
515.2,575.2,577.48,497.13,500.09
493.76,559.43,514.9,497.13,500.09
498.57,554.57,559.85,473.57,500.09
522.5,542.5,559.85,473.57,500.09
474.66,538.66,559.85,473.57,500.09
551.26,615.84,530.93,473.57,500.09
532.0,573.0,530.93,473.57,500.09
532.0,573.0,530.93,473.57,500.09
532.0,573.0,530.93,473.57,500.09
532.0,573.0,632.99,473.57,500.09
532.0,573.0,580.78,473.57,500.09
560.0,570.0,600.0,501.0,500.09
560.0,570.0,593.65,501.0,500.09
560.0,570.0,580.0,501.0,500.09
515.96,582.96,580.0,501.0,500.09
515.96,582.96,580.0,501.0,500.09
515.96,582.96,610.89,501.0,500.09
515.96,582.96,610.89,501.0,500.09
500.0,500.0,543.01,501.0,500.09
500.0,500.0,560.0,501.0,500.09
500.0,500.0,560.0,501.0,500.09
525.0,525.0,560.0,501.0,500.09
525.0,525.0,602.0,501.0,500.09
525.0,525.0,599.77,501.0,500.09
533.38,588.38,599.77,503.63,500.09
523.63,623.63,599.77,503.63,500.09
523.63,623.63,620.42,503.63,500.09
523.63,623.63,620.42,503.63,500.09
524.5,564.5,620.42,474.5,500.09
524.5,564.5,620.42,474.5,500.09
524.5,564.5,620.42,474.5,500.09
524.5,564.5,470.94,474.5,500.09
500.96,535.96,568.83,456.16,468.3
538.5,565.5,568.78,456.16,468.3
560.43,560.43,568.78,456.16,468.3
560.43,560.43,572.99,456.16,468.3
560.43,560.43,572.99,456.16,468.3
522.5,558.5,572.99,456.16,468.3
522.5,558.5,572.99,456.16,468.3
510.5,553.5,538.28,456.16,468.3
529.08,529.08,538.28,456.16,468.3
574.23,630.81,538.28,456.16,468.3
531.52,592.98,589.92,508.19,502.78
531.52,592.98,589.92,508.19,502.78
570.0,570.0,560.0,470.0,450.0
530.0,530.0,565.0,470.0,482.0
522.96,569.96,565.0,470.0,482.0
522.96,569.96,565.0,470.0,482.0
522.96,569.96,608.65,470.0,482.0
522.96,569.96,580.35,470.0,482.0
522.96,569.96,638.06,470.0,482.0
522.96,569.96,638.06,470.0,482.0
515.92,549.41,544.09,470.0,482.0
515.92,549.41,544.09,470.0,482.0
593.63,622.63,544.09,470.0,482.0
546.41,546.41,504.58,470.0,482.0
520.0,520.0,504.58,470.0,482.0
535.0,542.0,557.93,470.0,482.0
557.5,568.29,557.93,470.0,478.09
557.0,615.0,557.93,470.0,478.09
557.0,615.0,574.0,470.0,478.09
557.0,615.0,587.25,470.0,478.09
574.23,630.81,587.25,470.0,478.09
500.0,535.24,552.34,454.29,445.22
518.0,518.0,552.34,454.29,445.22
518.0,518.0,552.34,454.29,445.22
536.0,536.0,568.78,513.63,503.71
528.88,590.43,568.78,455.64,503.71
528.87,590.42,587.89,455.64,503.71
518.96,569.96,587.89,481.26,503.71
518.0,518.0,577.0,481.26,503.71
518.0,518.0,577.0,481.26,503.71
